Date,Mkt-RF,SMB,HML,RF,Mom   
3/31/1990,1.83,1.53,-2.89,0.64,1.64
4/30/1990,-3.36,-0.49,-2.55,0.69,2.43
5/31/1990,8.42,-2.56,-3.72,0.68,3.05
6/30/1990,-1.09,1.42,-1.95,0.63,2.43
7/31/1990,-1.9,-3.21,0.06,0.68,5.94
8/31/1990,-10.15,-3.56,1.57,0.66,1.76
9/30/1990,-6.12,-3.65,0.74,0.6,5.56
10/31/1990,-1.92,-5.53,0.27,0.68,6.73
11/30/1990,6.35,0.31,-3.23,0.57,-5.62
12/31/1990,2.46,0.77,-1.54,0.6,0.02
1/31/1991,4.69,3.78,-1.93,0.52,-6.55
2/28/1991,7.19,3.96,-0.56,0.48,-4.75
3/31/1991,2.65,3.9,-1.21,0.44,2.76
4/30/1991,-0.28,0.5,1.44,0.53,-2.4
5/31/1991,3.65,-0.36,-0.63,0.47,-0.09
6/30/1991,-4.94,0.07,1.17,0.42,0.46
7/31/1991,4.24,-0.92,-1.25,0.49,4.34
8/31/1991,2.32,1.6,-0.78,0.46,1.63
9/30/1991,-1.59,1.63,-1,0.46,1.73
10/31/1991,1.29,0.88,-0.43,0.42,3.22
11/30/1991,-4.19,-0.47,-1.93,0.39,1.26
12/31/1991,10.84,-2.25,-4.03,0.38,8.3
1/31/1992,-0.59,8.47,4.51,0.34,-2.51
2/29/1992,1.09,0.88,6.37,0.28,-0.58
3/31/1992,-2.66,-1.03,3.65,0.34,-0.36
4/30/1992,1.07,-6.12,4.31,0.32,-2.54
5/31/1992,0.3,0.4,1.28,0.28,0.13
6/30/1992,-2.34,-3.09,3.4,0.32,-0.61
7/31/1992,3.77,-0.45,-0.52,0.31,1.44
8/31/1992,-2.38,-0.1,-0.97,0.26,-0.51
9/30/1992,1.19,0.58,-0.23,0.26,1.43
10/31/1992,1.02,2.02,-2,0.23,2.71
11/30/1992,4.13,3.67,-1.43,0.23,-0.34
12/31/1992,1.53,1.63,2.59,0.28,4.44
1/31/1993,0.93,2,5.93,0.23,4.83
2/28/1993,0.12,-3.44,6.42,0.22,3.1
3/31/1993,2.3,0.22,1.27,0.25,3.74
4/30/1993,-3.05,-0.65,2.52,0.24,0.33
5/31/1993,2.89,1.96,-3.48,0.22,0.3
6/30/1993,0.31,-0.34,2.6,0.25,4.57
7/31/1993,-0.34,0.92,2.89,0.24,3.25
8/31/1993,3.71,0.17,0.12,0.25,2.58
9/30/1993,-0.12,3.03,-0.22,0.26,3.41
10/31/1993,1.41,2.03,-2.76,0.22,-2.67
11/30/1993,-1.89,-1.23,-0.77,0.25,-4.71
12/31/1993,1.65,1.22,0.34,0.23,2.28
1/31/1994,2.87,0.39,1.12,0.25,0.02
2/28/1994,-2.55,2.79,-1.57,0.21,-0.29
3/31/1994,-4.78,-1.14,1.63,0.27,-1.33
4/30/1994,0.68,-0.96,1.72,0.27,0.41
5/31/1994,0.58,-2.11,0.58,0.31,-2.15
6/30/1994,-3.03,-0.41,1.74,0.31,-0.82
7/31/1994,2.82,-1.81,0.61,0.28,0.19
8/31/1994,4.01,1.41,-2.46,0.37,1.56
9/30/1994,-2.31,3.12,-1.91,0.37,1.33
10/31/1994,1.34,-2.24,-1.65,0.38,1.43
11/30/1994,-4.04,0.27,-0.77,0.37,-0.2
12/31/1994,0.86,0.31,-0.19,0.44,3.5
1/31/1995,1.8,-3.5,2.54,0.42,-1.82
